"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSM-510","Introduction to Digital Social Media","M","4.0 units","Lecture","21860D","001","5:00-7:50pm","Tuesday","20","0","0","Karen North, Clinton Schaff","ANN309"
"DSM-520","Managing Technologies for Digital Media","M","4.0 units","Lecture","21870D","001","6:30-9:20pm","Wednesday","20","0","0","Michael Phillips","ANN408"
