"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ARCH-470","Architectural Studies Capstone Seminar","C","4.0 units","Lecture","11385D","001","10:00-12:50pm","Friday","15","1","0","Valery Augustin, Lauren Matchison</a>","HAR115A"
"ARCH-481","Furniture Design","","3.0 units","Lecture","11565R","001","3:30-6:20pm","Tuesday","8","0","0","","WAH1"
"","","","","Lecture-Lab","11566R","001","3:30-6:20pm","Tuesday","8","8","0","Ronald Mitchell","WAH1"
"ARCH-502aL","Architectural Design V","","6.0 units","Lecture-Lab","11404D","001","2:00-5:50pm","MWF","100","0","0","Doris Sung","OFFICE"
"ARCH-505bL","Graduate Architecture Design I","PM","6.0 units","Lecture-Lab","11410D","001","2:00-5:50pm","MWF","35","9","0","Gary Paige","OFFICE"
"ARCH-507","Theories of Computer Technology","","3.0 units","Lecture","11412D","001","9:00-11:50am","Friday","26","16","0","Karen Kensek","WPH B36"
"ARCH-514b","Global History of Architecture","P","3.0 units","Lecture","11235D","001","8:30-9:50am","Tue, Thu","40","5","0","James Steele","HAR101"
"ARCH-518","Advanced Surface Tectonics; Methods in Material and Enclosur","","2.0 units","Lecture","11518D","001","11:00-12:20pm","Tuesday","45","23","0","Douglas Noble","HAR101"
"ARCH-523aL","Structural Design and Analysis","","3.0 units","Lecture-Lab","11523D","001","11:00-12:20pm","Tue, Thu","40","8","0","Anders Carlson","VKC101"
"ARCH-524","Professional Practicum","MC","1.0 units, max 2","Lecture","11414D","001","TBA","Monday","11","0","0","Geoffrey Von Oeyen","OFFICE"
"ARCH-525","Professional Practice: Pre-Design, Project and Office Admini","P","3.0 units","Lecture","11525D","001","12:00-1:50pm","Mon, Wed","200","21","0","Michael Hricak, Mina Chow</a>","SGM123"
"ARCH-526","Professional Practice: Legal and Economic Context Project Do","P","3.0 units","Lecture","11251D","001","8:30-9:50am","Friday","100","0","0","Janek Dombrowa, Justin Brechtel</a>","THH102"
"","","","","Lab","11222R","001","12:00-1:50pm","Friday","51","0","0","Janek Dombrowa, Justin Brechtel</a>","WAH1"
"","","","","Lab","11300R","001","10:00-11:50am","Friday","52","0","0","Janek Dombrowa, Justin Brechtel</a>","WAH1"
"ARCH-534","Landscape Construction: Topographic Design","","3.0 units","Lecture","11243D","001","9:00-11:50am","Tuesday","18","6","0","Jerry Hastings","WAH B7"
"ARCH-538L","Urban Plant Ecology: Cultural Perspectives","P","4.0 units","Lecture-Lab","11441D","001","1:00-3:50pm","Tue, Thu","25","5","0","Bob Perry","WAH212"
